Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
TOK1344,TOK,17,,,,S,S,S,104.48,104.86,808.1254357,629.71078,0.938077,938.077,352,172,,90,42,42,32,15,16,1.3125,m,m,DP,Chunk,Chert,C,1,R1,1
TOK1345,TOK,17,,,,B,B,B,104.54,104.71,808.1253852,629.7106265,0.93809,938.09,115,115,,0,,,,,,,,,B,,,,,,
TOK1349,TOK,17,,,,S,S,U,104.99,104.55,808.1256271,629.7102147,0.93807,938.07,80,80,80,21,20,20,15,13,4,1.333333333,s,m,UN,UN,Chert,C,,,
TOK1350,TOK,17,,,,B,B,B,104.24,104.1,808.1247633,629.7103521,0.938061,938.061,143,143,,0,,,,,,,,,B,,,,,,
TOK1351,TOK,17,,,,S,S,S,104.92,104.27,808.1253935,629.7100452,0.938117,938.117,68,68,,0,54,54,25,21,33,2.16,l,m,DP,Chunk,Chert,C,0,R0,0
TOK1352,TOK,17,,,,B,B,B,104.39,104.11,808.1248846,629.7102634,0.938087,938.087,70,70,255,46,,,,,,,,,B,,,,,,
TOK1353,TOK,17,,,,S,S,S,104.28,104.05,808.1247618,629.7102881,0.938068,938.068,352,172,,0,40,40,33,16,17,1.212121212,m,m,DP,Chunk,Chert,C,1,R0,0
TOK1355,TOK,17,,,,S,S,S,104.37,104.27,808.1249722,629.7103988,0.93809,938.09,85,85,85,36,21,17,21,9,3,1.235294118,m,s,DP,BP,Chert,C,1,R1,1
TOK1356,TOK,17,,,,S,S,S,103.86,101.55,808.1228331,629.7086431,0.938117,938.117,43,43,,0,59,59,50,44,125,1.18,l,l,DP,Chunk,Chert,C,0,R0,0
TOK1357,TOK,17,,,,S,S,S,104.13,104.09,808.1246726,629.7104152,0.938054,938.054,355,175,,0,21,21,18,11,3,1.166666667,m,s,DP,Chunk,Chert,C,0,R0,0
TOK1359,TOK,17,,,,S,S,S,104.64,103.84,808.1249026,629.7098958,0.938061,938.061,103,103,198,26,38,34,38,8,9,1.117647059,m,m,DP,BP,Chert,C,0,R0,0
TOK1360,TOK,17,,,,B,B,B,104.92,103.71,808.1250335,629.7096163,0.93807,938.07,350,170,,0,,,,,,,,,B,,,,,,
TOK1361,TOK,17,,,,S,S,S,104.24,103.58,808.1244291,629.7099538,0.938091,938.091,115,115,,90,31,31,26,8,6,1.192307692,m,m,DP,BPF,Silicious dolomite,SD,0,R0,0
TOK1362,TOK,17,,,,B,B,B,104.03,103.52,808.1242296,629.7100428,0.93809,938.09,128,128,15,20,,,,,,,,,B,,,,,,
TOK1363,TOK,17,,,,B,B,B,104.16,103.46,808.1242906,629.7099133,0.93808,938.08,20,20,,0,,,,,,,,,B,,,,,,
TOK1364,TOK,17,,,,S,S,S,104.32,103.19,808.1242397,629.7096036,0.938089,938.089,82,82,,42,30,30,29,15,8,1.034482759,m,m,DP,Chunk,Chert,C,0,R0,0
TOK1366,TOK,17,,,,B,B,B,104.01,103.01,808.1238865,629.709665,0.938115,938.115,70,70,155,35,,,,,,,,,B,,,,,,
TOK1367,TOK,17,,,,S,S,S,104.63,102.77,808.1242071,629.7090827,0.938093,938.093,61,61,345,38,145,145,134,106,2479,1.082089552,l,l,FP,Core,Brecciated chert,BC,1,R0,0
TOK1368,TOK,17,,,,B,B,B,104.78,102.75,808.1243092,629.7089709,0.93814,938.14,20,20,199,28,,,,,,,,,B,,,,,,
TOK1369,TOK,17,,,,S,S,S,104.86,102.77,808.1243833,629.7089348,0.938115,938.115,10,10,,90,,,,,,,,,,,,,,,
TOK1370,TOK,17,,,,S,S,S,104.25,102.71,808.1238775,629.709281,0.938078,938.078,80,80,,0,22,22,22,10,4,1,m,m,DP,BPF,Chert,C,1,R0,0
TOK1371,TOK,17,,,,B,B,B,104.07,102.68,808.1237203,629.7093737,0.938088,938.088,105,105,105,9,,,,,,,,,B,,,,,,
TOK1372,TOK,17,,,,S,S,S,104.19,102.63,808.1237801,629.7092582,0.93808,938.08,352,172,,0,27,27,18,5,3,1.5,m,s,DP,BPF,Chert,C,0,R0,0
TOK1373,TOK,17,,,,B,B,B,104.28,101.31,808.1230005,629.7081893,0.938106,938.106,9,9,,0,,,,,,,,,B,,,,,,
TOK1374,TOK,17,,,,B,B,B,101.12,103.98,808.1222963,629.7122657,0.938103,938.103,340,160,255,57,,,,,,,,,B,,,,,,
TOK1375,TOK,17,,,,S,S,S,104.46,101.01,808.1229456,629.7078438,0.938111,938.111,347,167,65,19,43,36,43,12,15,1.194444444,m,m,DP,BP,Dolomite,SD,1,R0,0
TOK1376,TOK,17,,,,S,S,S,104.24,100.43,808.1224042,629.7075409,0.93812,938.12,345,165,161,19,35,35,25,7,6,1.4,m,m,DP,BPF,Chert,C,1,R0,0
TOK1377,TOK,17,,,,B,B,B,103.29,104.3,808.1241642,629.711116,0.938055,938.055,53,53,,0,,,,,,,,,B,,,,,,
TOK1378,TOK,17,,,,S,S,S,103.74,104.38,808.1245603,629.710888,0.938049,938.049,96,96,,0,47,47,40,15,24,1.175,m,m,DP,BP,Brecciated chert,BC,1,R1,1
TOK1379,TOK,17,,,,B,B,B,103.95,104.38,808.1247212,629.710753,0.93807,938.07,51,51,51,23,,,,,,,,,B,,,,,,
TOK1380,TOK,17,,,,S,S,S,103.68,103.11,808.123698,629.7099538,0.938091,938.091,347,167,257,54,38,38,26,14,12,1.461538462,m,m,FP,Tool,Chert,C,0,R0,0
TOK1381,TOK,17,,,,B,B,B,103.61,102.98,808.1235608,629.7098992,0.938088,938.088,87,87,,0,,,,,,,,,B,,,,,,
TOK1382,TOK,17,,,,S,S,S,104.78,104.27,808.1252862,629.7101352,0.938083,938.083,5,5,,0,,,,,,,,,,,,,,,
TOK1383,TOK,17,,,,B,B,B,103.52,101,808.1222191,629.7084403,0.938135,938.135,334,154,152,17,,,,,,,,,B,,,,,,
TOK1384,TOK,17,,,,S,S,S,102.91,102.86,808.1229475,629.7102572,0.938093,938.093,70,70,,0,33,33,25,10,10,1.32,m,m,DP,BPF,Brecciated chert,BC,0,R0,0
TOK1385,TOK,17,,,,B,B,B,101.63,103.75,808.1225391,629.7117617,0.938065,938.065,34,34,34,29,,,,,,,,,B,,,,,,
TOK1386,TOK,17,,,,B,B,B,101.28,103.58,808.1221617,629.7118565,0.938069,938.069,13,13,,0,,,,,,,,,B,,,,,,
TOK1387,TOK,17,,,,S,S,S,101.24,101.11,808.1205433,629.7099902,0.938089,938.089,131,131,,0,89,89,79,34,377,1.126582278,l,l,DP,Chunk,Lava,L,1,R0,0
TOK1388,TOK,17,,,,S,S,S,100.02,102.62,808.1205795,629.7119311,0.938056,938.056,326,146,,0,30,30,28,7,4,1.071428571,m,m,DP,BPF,Brecciated chert,BC,1,R1,1
TOK1389,TOK,17,,,,S,S,S,101.26,103.6,808.1221592,629.7118847,0.938086,938.086,32,32,297,45,49,49,23,12,10,2.130434783,m,m,DP,BPF,Brecciated chert,BC,0,R0,0
TOK1390,TOK,17,,,,S,S,S,101.62,103.77,808.1225443,629.7117835,0.938104,938.104,33,33,33,27,38,38,36,11,12,1.055555556,m,m,DP,BP,Chert,C,0,R0,0
TOK1391,TOK,17,,,,S,S,S,103.73,100.4,808.1219943,629.7078458,0.938103,938.103,48,48,,0,54,54,26,10,8,2.076923077,l,m,DP,BPF,Chert,C,0,R0,0
TOK1392,TOK,17,,,,S,S,S,103.51,99.77,808.1214208,629.7075046,0.938108,938.108,80,80,,0,24,24,14,9,2,1.714285714,m,s,DP,BPF,Chert,C,0,R0,0
TOK1393,TOK,17,,,,S,S,S,103.27,99.75,808.1212241,629.7076435,0.938113,938.113,54,54,,90,36,36,36,8,11,1,m,m,DP,BP,Chert,C,0,R0,0
TOK1394,TOK,17,,,,S,S,S,103.67,99.67,808.1214791,629.7073251,0.938105,938.105,82,82,,0,23,23,11,9,3,2.090909091,m,s,DP,Chunk,Chert,C,0,R0,0
TOK1395,TOK,17,,,,S,S,S,102.21,100.5,808.1208943,629.7088994,0.938102,938.102,92,92,,0,19,19,16,6,2,1.1875,s,s,DP,BPF,Brecciated chert,BC,0,R0,0
TOK1396,TOK,18,,,,B,B,B,104.77,104.99,808.1257414,629.7106932,0.938027,938.027,110,110,232,36,,,,,,,,,B,,,,,,
TOK1397,TOK,18,,,,B,B,B,104.4,104.99,808.125458,629.710931,0.938067,938.067,0,0.5,,45,,,,,,,,,B,,,,,,
TOK1398,TOK,18,,,,B,B,B,104.87,104.46,808.1254773,629.7102229,0.938032,938.032,358,178,182,32,,,,,,,,,B,,,,,,
TOK1400,TOK,18,,,,S,S,S,104.29,104.45,808.1250266,629.7105881,0.938015,938.015,30,30,210,3,27,27,12,9,4,2.25,m,m,DP,Chunk,Chert,C,1,R1,1
TOK1401,TOK,18,,,,B,B,B,104.35,103.46,808.1244362,629.7097912,0.938028,938.028,16,16,115,54,,,,,,,,,B,,,,,,
TOK1402,TOK,18,,,,S,S,S,104.15,103.45,808.1242766,629.7099121,0.938005,938.005,331,151,151,26,67,67,52,29,61,1.288461538,l,l,DP,Chunk,Brecciated chert,BC,0,R0,0
TOK1403,TOK,18,,,,B,B,B,103.83,103.52,808.1240764,629.7101714,0.938022,938.022,70,70,,0,,,,,,,,,B,,,,,,
